I	O	O	O	O	
MAKING	O	O	O	O	
GOOD	O	O	O	O	
WITH	O	O	O	O	
MOTHER	B-PER	O	O	O	
When	O	O	O	O	
men	B-PER	O	O	O	
began	O	O	O	O	
to	O	O	O	O	
build	O	O	O	O	
cities	B-GPE	O	O	O	
vertically	O	O	O	O	
instead	O	O	O	O	
of	O	O	O	O	
horizontally	O	O	O	O	
there	O	O	O	O	
passed	O	O	O	O	
from	O	O	O	O	
our	B-FAC	O	O	O	
highways	I-FAC	O	O	O	
a	B-PER	O	O	O	
picturesque	I-PER	O	O	O	
figure	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
from	O	O	O	O	
our	O	O	O	O	
language	O	O	O	O	
an	O	O	O	O	
expressive	O	O	O	O	
figure	O	O	O	O	
of	O	O	O	O	
speech	O	O	O	O	
.	O	O	O	O	

That	O	B-PER	O	O	
oily-tongued	O	I-PER	O	O	
,	O	I-PER	O	O	
persuasive	O	I-PER	O	O	
,	O	I-PER	O	O	
soft-stepping	O	I-PER	O	O	
stranger	O	I-PER	O	O	
in	O	I-PER	O	O	
the	O	I-PER	O	O	
rusty	O	I-PER	O	O	
Prince	O	I-PER	O	O	
Albert	O	I-PER	O	O	
and	O	I-PER	O	O	
the	O	I-PER	O	O	
black	O	I-PER	O	O	
string	O	I-PER	O	O	
tie	O	I-PER	O	O	
who	O	I-PER	O	O	
had	O	I-PER	O	O	
been	O	I-PER	O	O	
wont	O	I-PER	O	O	
to	O	I-PER	O	O	
haunt	O	I-PER	O	O	
our	O	I-PER	O	O	
back	O	I-PER	O	O	
steps	O	I-PER	O	O	
and	O	I-PER	O	O	
front	B-FAC	I-PER	O	O	
offices	I-FAC	I-PER	O	O	
with	O	I-PER	O	O	
his	O	I-PER	O	O	
carefully	O	I-PER	O	O	
wrapped	O	I-PER	O	O	
bundle	O	I-PER	O	O	
,	O	O	O	O	
retreated	O	O	O	O	
in	O	O	O	O	
bewildered	O	O	O	O	
defeat	O	O	O	O	
before	O	O	O	O	
the	O	O	O	O	
clanging	O	O	O	O	
blows	O	O	O	O	
of	O	O	O	O	
steel	O	O	O	O	
on	O	O	O	O	
steel	O	O	O	O	
that	O	O	O	O	
